categoria,pontos,lat,lon,level
NA,Naufragio Corveta Ipiranga V17,-3.851944,-32.478056,1
NA,Naufragio Maria Stathatos (naufragio do Porto),-3.833333,-32.406667,1
NA,Naufragio Eleni Stathatos,-3.833333,-32.407222,1
NA,Naufragio do canal da Rata,-3.816667,-32.416667,1
APA,Laje Dois Irmaos ,-3.848333,-32.441667,1
Parna,Caverna da Sapata,-3.8798,-32.4631,1
Parna,Cabeco submarino ,-3.8763,-32.4070,1
NA,Cabeco da Sapata,-3.8767,-32.4827,1
Parna,Luiais,-3.8830,-32.4230,1
Parna,Pedras Secas,-3.8500,-32.3784,1
Parna,Ilha do Meio,-3.8204,-32.3961,1
Parna,Ressurreta Canal da Rata,-3.8176,-32.3912,1
Parna,Cagarras (Cagarras fundas e Cagarras rasas),-3.8086,-32.3924,1
Parna,Buraco do Inferno,-3.8079,-32.3817,1
Parna,Pontal do Norte,-3.8011,-32.3773,1
Parna,Buraco das Cabras,-3.8172,-32.3903,1
Parna,Ilha do Frade,-3.8608,-32.4010,1
Parna,Capim Acu,-3.8832,-32.4559,1
Parna,Navio do Leao,-3.8760,-32.4304,1
Parna,Trinta reis,-3.8705,-32.4111,1
Parna,Caieiras,-3.8415,-32.4111,1
Parna,Macaxeira ou Pontal da Macaxeira,-3.8050,-32.3774,1
Parna,Cabeco das Cordas,-3.8066,-32.3775,1
Parna,Cordilheiras,-3.8052,-32.3800,1
APA,Morro de Fora,-3.8369,-32.4152,1
